	title	category
272425	Malaysia Jet Response Must Curb Pilot Powers, Emirates Says	b
172977	FOREX-Euro nurses losses after soft German inflation, yen eyes BOJ	b
326988	"UPDATE 1-Russia postpones launch of new ""Angara"" space rocket"	t
3149	Lena Dunham Apologizes For Molestation Joke On Twitter	e
138779	Debbie Gibson - Debbie Deborah Gibson Battling Lyme Disease	m
77076	Ford sees US 16 million annualized auto sales rate, including big trucks	b
275591	Gold Trades Near Four-Month Low Before ECB Decision, US Data	b
104785	Greek central bank chief says wants second term	b
142445	UPDATE 1-Pfizer considers $100 bln bid for AstraZeneca - report	b
121242	EPA Power Plant Mercury Rule Upheld by US Appeals Court (2)	b
389170	Cory Monteith's Mom Opens Up About Actor's Death, Previous Overdose	e
171034	UPDATE 3-Coach's North American decline deepens	b
219170	UPDATE 9-AstraZeneca rejects Pfizer's take-it-or-leave-it offer	b
338021	SACRAMENTO, Calif. (AP) — The gloves are coming off in California kitchens.	m
50859	UPDATE 3-US govt to sell most of Ally Financial stake in IPO	b
140007	Miley Cyrus - Miley Cyrus postponed Bangers tour until August	e
287257	How To Train Your Dragon 2 Outdoes the Original	e
377235	UPDATE 1-ECB's Draghi says appreciated euro a risk to recovery	b
272194	Bond Yields Lowest Since Napoleon Are No Comfort to Europe Amid Deflation  ...	b
245193	US STOCKS-S&P 500 ends at record on housing, HP; transports fly	b
357974	Megan Fox Posts Makeup-Free Selfie After Joining Instagram	e
282445	CANADA FX DEBT-Canada dollar flat despite higher oil prices	b
265917	Top scientists warn WHO not to stub out e-cigarettes	m
373307	Ellen Degeneres - Ellen DeGeneres and Portia de Rossi 'work out' marital issues	e
219843	NASA's Kepler Space Telescope Gets New Mission Hunting Exoplanets	t
218442	The top films at the North American box office	e
120878	UPDATE 1-ASML sees slower Q2 sales, revises first-half outlook	b
349794	Facebook Makes Us Happy/Sad	t
201569	The Most Influential Moms in Food	e
307561	Japan June flash manufacturing PMI shows first expansion in 3 months	b
126807	Will Arnett Files For Divorce From Amy Poehler	e
374840	Ethan Hawke - Ethan Hawke And Patricia Arquette Shocked By Movie Ageing	e
371417	Citigroup may pay $7 billion to resolve US mortgage probes: source	b
393648	Statement on the 2014 Medicare Trustees' Report	b
57064	European Bonds Advance, Led by Portugal, Amid Deflation Concern	b
232265	Who Is Michael Jace, The Actor Who Shot His Wife To Death?	e
143856	Quentin Tarantino Continues Work On 'Hateful Eight,' Despite Having His  ...	e
418999	Draft Of Upcoming IPCC Report Presents Stark View Of The Future As Climate  ...	t
207018	Breast Cancer Survivors Discuss Increasing Support For Black Women With The  ...	m
184694	Target Seen Pursuing First Outside CEO After Steinhafel Exit (2)	b
58376	Home > Beyonce Knowles > Beyonce Breaks Down In Tears At Final Mrs. Carter  ...	e
279256	Morrissey - Sick Morrissey Cancels Remainder Of Us Tour	e
397797	WTI Trades Near Week-Low	b
161561	Aereo to Justices: Kill Us, and You'll Kill the Cloud	e
295230	Terry Richardson Discusses Sexual Harassment Accusations	e
199859	Drone Almost Struck Airliner Over Florida in March, FAA Says (1)	b
126943	'Fargo' Review: A Frosty Treat From The Frozen North	e
232548	The Jessica Chastain 'True Detective' Season 2 Rumor Has Finally Been  ...	e
382774	Yellen Says Asset Values Aren't Out of Line With Past Norms	b
47803	UPDATE 3-US Senate panel sets April 2 hearing on GM auto recalls	t
83568	Dollar Stays Higher Against Euro Before FOMC Minutes; Yen Gains	b
386195	Biological Pacemaker That Works in Pigs Offers Promise	m
23608	Miley Cyrus' Bangerz Tour Bus Bursts Into Flames	e
364895	Solange Covers Lucky Magazine And Talks Infamous Elevator Fight With Jay Z  ...	e
348446	Pimco's Gross Says Shiller P/E Needs Adjusting: Chart of the Day	b
398678	UPDATE 1-Total stops buying Novatek shares after MH17 shot down	b
118044	Ice Cube Defends Comments Against MTV Movie Awards For Honoring Paul  ...	e
290754	The Best Clue Yet That An 'iWatch' Is Coming This Year	t
23942	Fried Foods' Effects May Be Greater In People With Obesity Genes	m
225043	US Stocks Fall on Retail Earnings as Small-Caps Retreat	b
344193	Charney Pushes American Apparel Comeback as Stake Raised	b
254589	WRAPUP 3-US factory, confidence data boost growth prospects	b
240304	CANADA FX DEBT-C$ firms modestly as inflation rate picks up	b
47358	BofA Agrees to $9.5 Billion Mortgage Settlement, Boosts Dividend	b
154744	Peeps Movie Is Apparently A Thing Now, And So Is It's A Small World	e
215963	New CDC PrEP Guidelines Could Transform HIV Prevention	m
363391	Miley Cyrus - Miley Cyrus gets tattoo of late dog	e
192302	UPDATE 1-Emirates' 2013 profit soars on higher sales, cheaper fuel	b
46896	BP Refinery Spills Oil Into Lake Michigan During Malfunction	b
397874	PG&E May Face $1.1 Billion US Fine for Pipeline Blast	b
191637	Man Drives Tesla From NYC To Miami Without Spending A Cent	b
414758	The Best Tributes To Lord Richard Attenborough	e
84217	Cement makers Lafarge, Holcim agree merger plan -source	b
274704	Vincent Van Gogh - Live Replica Of Van Gogh's Severed Ear On Display At  ...	e
158506	Spare cash in euro zone falls below 100 billion euro threshold	b
7049	Lena Dunham - Lena Dunham may quit acting	e
212539	Wal-Mart profit falls 5 pct as severe winter deters shoppers	b
201797	Kim Kardashian and Kanye West are yet to sign pre-nup	e
216471	WRAPUP 2-Vietnam stops anti-China protests after riots, China evacuates workers	b
202757	Chris Brown Admits Probation Violation, Ordered To Spend Additional 131 Days  ...	e
210663	H.R. Giger Dies: Celebrating The â€˜Alienâ€™ Visionaryâ€™s Nightmarish  ...	e
78610	How I Met 'How I Met Your Mother'	e
91136	7 Things to Know This Equal Pay Day	b
249621	Gap quarterly profit falls 22 pct	b
152199	Valeant Looks Better to Bondholders After Botox: Canada Credit	b
129804	James Franco - James Franco Lashes Out At Theatre Critic	e
341666	"Melissa McCarthy Shines In First Indie Project, ""Tammy"""	e
260548	Rob Kardashian - Rob Kardashian vows to get in shape	e
319987	Kim Kardashian Is A Blonde Again (UPDATE)	e
36949	Game Of Thrones Season 4 Mere Weeks Away - Here's 5 Reasons Why We  ...	e
296537	In US, MERS patients did not spread infection to close contacts -CDC	m
270371	Jonah Hill Hurls Anti-Gay Slur At Paparazzi	e
405659	US fine tips BNP Paribas into second-quarter loss	b
326334	VIX Futures at 2 AM Finally a Reality as CBOE Extends	b
104729	ECB, BoE say public intervention needed to revive stigmatised debt market	b
395370	Peter Jackson - Peter Jackson wore disguise to Comic-Con	e
349773	Sheryl Sandberg Stops Short Of Apology For Facebook Mood Study	t
182581	Best Dressed Met Gala 2014: See All The A-Listers Who Proved That Fashion  ...	e
376523	BOJ Keeps View Inflation to Accelerate Toward 2% Target	b
160287	Tech Companies Create Fund To Avoid The Next Heartbleed Bug	t
270803	Who Is Ryan Lewis Asks Ryan Lewis In Hilarious Jimmy Fallon Clip	e
56495	UPDATE 1-BlackBerry reports loss as smartphone sales keep sliding	b
399013	OkCupid's Experiment May Have Broken FTC Rules	t
309979	EPA's Winning Streak Extended as High Court Backs Greenhouse Permits	b
363360	Miley Cyrus - Miley Cyrus Honours Dead Pooch With Tribute Tattoo	e
225365	General Motors recalls 2.4 million more vehicles in US	b
343643	FOREX-Dollar steadies before Yellen and ADP data, sterling shines	b
188152	UPDATE 3-Yellen cites housing, geopolitical tensions as economic risks	b
101437	WRAPUP 3-US producer inflation accelerates in March	b
396454	Andi Dorfman Chooses Josh Murray And Gets Engaged On 'The Bachelorette  ...	e
100441	Ebola Outbreak Leaves Hotels Empty as West Africa Borders Closed	m
266439	Benghazi Becomes Issue In Arizona Governor GOP Primary	b
93957	'Orange Is The New Black' Star Kate Mulgrew Has A Strange New Project In The  ...	e
11529	Rooney Mara - Rooney Mara in talks for Tiger Lily in Pan	e
107063	Was Outkast's Comeback at Coachella A Total Disaster?	e
349594	NASA Launches Orbiting Carbon Observatory-2 Satellite To Monitor  ...	t
270305	Will Jonah Hill's Homophobic Slur Damage His Pristine Reputation?	e
27423	Eminem And Rihanna Announce Dates For Huge 'The Monster' Concerts	e
356039	Kroger to Buy Vitacost for $280 Million	b
267920	iOS 8 Will Tell You Which Apps Are Killing Your Battery	t
305791	European Bonds Jump as Fed Outlook on Rates Enhances ECB Support	b
305555	Puts Shrink Amid Longest Run of Market Calm Since 1995	b
403139	Chris Pratt - Chris Pratt Embarrassed By Weight At Auditions	e
310904	PRECIOUS-Gold slips; platinum extends losses as Sth African strike ends	b
317354	Dixons Retail profits soar ahead of Carphone merger	b
16034	How Obamacare Impacts Small Business Transactions	b
142005	We Met The Easter Bunny, And He's A Creep (VIDEO)	e
343191	1 In 6 Returned Soldiers Use Opioid Painkillers, Study Finds	m
317062	NY AG to file securities fraud lawsuit against Barclays -source	b
314462	UPDATE 2-US will allow some exports of a light crude oil -WSJ	b
309782	US STOCKS-Wall St flat after six-day gain, homebuilders rally	b
380330	Randall Miller - Randall Miller And Wife Surrender To Police Over Midnight  ...	e
65344	Piers Morgan Bids Farewell To His Show	e
198349	"Jada Pinkett-Smith Takes A ""Pot And Kettle"" Approach To Willow's Critics"	e
419445	Apple Planning To Release Largest iPad Ever: Report	t
96063	Zynga Lures Best Buy's Lee to CFO Role Amid Turnaround Effort	b
138446	Bryan Singerâ€™s Accuser Says He Was â€œPiece Of Meatâ€ , As FBI Denies  ...	e
374584	John Wayne's Family Sues Duke University Over The Name 'Duke'	e
50322	UPDATE 1-Guinea says has contained Ebola outbreak, death toll rises	m
401811	101 Geysers Discovered On Saturn's Icy Moon Enceladus	t
9475	GM Criminal Probe of Recalls Seen Complicating Barra Efforts (4)	b
205365	Neighbors Beats The Amazing Spider-man 2 At The Us Box Office	e
405673	Big Banks' 'Too-Big-to-Fail Subsidy' Is Waning, GAO Finds	b
265214	Chelsea Handler - Chelsea Handler's Talk Show To End With Spectacular Send  ...	e
380623	Kristen Stewart - Kristen Stewart & Anne Hathaway Join Jenny Lewis In New Video	e
238843	Facebook Adjusts Its Privacy Controls—Again	t
326457	BNP Paribas to Reinforce Primary Dealer Role as Rivals Struggle	b
365708	Transformers and the Age of Summer Blockbusters With Chinese Characteristics	e
116360	MORE TIME TO FILE, NOT PAY	b
363720	Spanish Bright Spot Shot as Gowex to File for Insolvency, CEO Quits on Fake  ...	b
234425	Russian Stocks End 4 Days of Gains as Investors Mull China Deal	b
364798	Zac Efron - Zac Efron Pictured Kissing Michelle Rodriguez	e
324132	Shia Labeouf - Shia LaBeouf arrested during Broadway show	e
51874	GameStop to Cut Store Number by 2% as Forecast Falls Short (1)	b
292061	L'wren Scott's Sister Slams Mick Jagger's Recent Canoodling	e
201573	3 Things You Should Tell Your Kids on Mother's Day	e
168272	Kim Kardashian - Kim Kardashian and Kanye West to wed this week	e
409727	Allergan Sues Valeant Claiming Insider Scheme With Ackman	b
177374	Jennifer Lopez Reveals New Album Cover For AKA Ahead Of Billboard Awards  ...	e
397707	WTI Trades Near Two-Week Low Before Stockpile Data	b
33611	Madonna Shows Long Armpit Hair In New Instagram Pic	e
145891	Chris Brown - Chris Brown's Bodyguard Convicted Of Assault	e
177701	Detroit Cinco De Mayo Parade Shooting Leaves 19-Year-Old Father Dead	e
206425	Ann Curry Rescued From New York Mountain By Boy Scouts	e
180070	Factbox: What it would take for the ECB to vote on fresh action	b
98754	Selena Gomez Fires Parents As Managers, Looks For New Reps	e
207442	GLOBAL MARKETS-Talk of ECB easing props up shares, holds back euro	b
104086	Paul Walker Tribute Will Take Place At 2014 MTV Movie Awards	e
370908	GLOBAL MARKETS-Asian stocks extend drop after cool Chinese price data	b
874	COMMODITIES-China fears hit copper, oil; Shanghai commodities slump	b
240341	CANADA FX DEBT-C$ firms modestly but stays in range; CPI in focus	b
50099	School Reverses Decision To Suspend Girl Who Shaved Her Head For Friend  ...	m
146688	Novartis to Buy Glaxo Cancer Drugs, Sell Animal Health	b
349796	Your Facebook Experience Was Never Emotionally Neutral	t
343702	China Stocks Rise to Post Longest Winning Streak in Three Weeks	b
72455	"Lady Gaga Bids Farewell To NY's Roseland With ""Funeral"" Gig"	e
208091	UN Officials Want Better Flight Tracking After Loss Of Flight MH370	b
405463	UPDATE 1-Reforming Puerto Rico's public corporations key -NY Fed	b
136127	GM Defeats Consumer Court Bid to Force Recall Cars to Be Parked	b
310324	UPDATE 2-North Dakota aims to nearly double pipeline capacity -governor	b
378116	Senate Candidate Gary Peters Pushes FCC On Net Neutrality	t
248698	I DON'T Wanna Hold Your Hand! Paul McCartney Infection Leads To Hospital Stay	e
25937	UPDATE 7-Toyota's $1.2 bln settlement may be model for US probe into GM	t
77266	Make Your Photos More #Hoffsome With This Google+ Prank	t
376377	Fed's George says rate hike possible this year - Dow Jones	b
266615	"France says BNP Paribas' $10 bln US fine ""unreasonable"""	b
75178	Frankie Knuckles - House Music Pioneer Frankie Knuckles Dies	e
195888	UPDATE 1-Omnicom, Publicis call off proposed $35 billion merger -source	b
238056	JD.com Goes Public, and China Has a New Internet Billionaire	b
114156	Mtv Movie Awards: Who Was The Best Dressed?	e
352187	Robert Hastings - Actor Bob Hastings Dies At 89	e
307519	GLOBAL MARKETS-Upbeat China PMI boosts Asia equities, Aussie; oil up on Iraq	b
94064	Eminem And Rihanna Set For Huge Performance Of 'The Monster' At MTV Movie  ...	e
387277	AutoNation profit misses expectations, shares drop	b
409659	Chevron Falls as Output Drops Despie Rising Spending	b
412372	CANADA STOCKS-TSX hits record high as Tim Hortons jumps	b
262700	TREASURIES-Yields slump; 10-year slides to near 11-month low	b
223435	UPDATE 5-Credit Suisse escapes worst as it pleads guilty to US charges	b
25038	UPDATE 2-China Telecom books record revenue on rapid mobile sales growth	b
420516	Sandra Bullock - Sandra Bullock, Jennifer Aniston And 50 Cent Help Chelsea  ...	e
93071	This Tiny But Significant Cup Just Sold For A Whopping $36 Million	e
166554	Icahn, Ackman may team up on activist investments - WSJ	b
80803	CORRECTED-US factory activity growth slows slightly in March -Markit	b
124394	UPDATE 1-Bank of America's financial crisis costs become a recurring nightmare	b
328426	French Montana - French Montana buys Khloé Kardashian £29k car	e
306132	Amazon Fire Phone: Everything You Need To Know	t
253488	Sony CEO Says First TV Profit in Decade Possible With Sales Miss	t
371495	UPDATE 1-AbbVie forced to retract comments in Shire takeover fight	b
332383	Kim Kardashian - Kim Kardashian's daughter victim of racial slur	e
310203	American Apparel: Charney's Bad Behavior Was Very, Very Expensive	b
416550	The 'OITNB' Cast Is Having The Most Fun At The Emmys Red Carpet	e
301205	US Patent Office cancels trademarks of NFL's Redskins	b
404910	Billionaire Republican Donor Pushes Argentina Into Default	b
294082	GRAINS-Soybeans up for 2nd day on tight old-crop supply, wheat firms	b
101829	FBI conducting a probe into Herbalife: sources	b
403020	Chris Pratt - Chris Pratt's son brought him closer to Anna Faris	e
124387	Deal over pensions close in Detroit bankruptcy -pension official	b
328567	The Worst Things Written About 'Transformers: Age Of Extinction'	e
25048	China Telecom 2013 profit rises 17 pct, matches estimates	b
309227	President Obama Establishes Task Force To Save Bees	t
338830	BNP to Pay Almost $9 Billion in US Sanctions Plea Deal	b
334287	Bulgaria's third biggest lender says no restrictions on operations	b
153811	Amazon Prime Just Got Way Better With A Ton Of Old HBO Shows	e
287379	DYERSVILLE, Iowa (AP) — Actor Colin Egglesfield wasn't in the classic baseball  ...	e
334001	UPDATE 1-ECB to wait for June measures to bite as inflation stays low	b
60715	FOREX-Dollar gains on data, NZ dollar hits over 2-1/2-year high	b
104738	ECB Said to Join BOE in Call for Better-Functioning ABS Market	b
394941	Kiefer Sutherland Issues Professional Response To Freddie Prinze Jr.'s  ...	e
188060	From IPO To Rental Boyfriends: Everything You Need To Know About China's  ...	b
265695	Harry Styles - Harry Styles angry at Zayn Malik and Louis Tomlinson	e
230514	Target names new head of troubled Canadian operations	b
417947	Alibaba revenue soars ahead of IPO	b
113548	UPDATE 2-'Heartbleed' blamed in attack on Canada tax agency, more expected	t
407967	Lorde Given Complete Control Over New 'Hunger Games' Soundtrack	e
33104	String Cover Of 'Happy' Is Too Perfect For International Day of Happiness	e
44125	FOREX-Euro steadies after ECB officials clarify monetary policy stance	b
155330	Ebersman Departs Facebook on Top After Post-IPO Stock Revival	b
74692	Orlando Bloom - Orlando Bloom wants to inspire son	e
39055	Climate Change Dangers Here Now, Will Worsen Many Human Ills, UN Panel  ...	t
363929	FOREX-Dollar holds job-inspired gains in quiet start to week	b
348462	Gross Says Income Will Replace Capital Gains in New Neutral	b
397092	Sierra Leone Is New Epicenter of Ebola Outbreak, Aid Group Says	m
91248	GLOBAL MARKETS-Wall St gets post-selloff bounce; dollar and euro sag vs yen	b
400829	WRAPUP 6-US economy back on track with strong second-quarter rebound	b
263153	Wells Fargo Can't Shake LA Lawsuit Over Predatory Loans	b
204838	Gas prices fall over a penny in New Hampshire	t
96176	UPDATE 3-JPMorgan profit weaker than expected as trading revenue drops	b
144019	Lindsay Lohan's Words For The Person Who Leaked Her 'Sex List' (VIDEO)	e
403806	5 Seconds Of Summer Earn Record Breaking Debut At No.1 On Billboard 200	e
263356	Deposit rate cut, targeted LTRO in June could boost euro zone lending-Reuters  ...	b
282386	Hedge Funds Cut Bullish Crude Bets as Iraq Rally Missed	b
166259	France meets Alstom bidders with pledge to protect jobs	b
128032	Morgan Stanley first-quarter earnings up 49 pct	b
275658	Cross-Currency Swap Premium Rises Amid ECB Rate Cut Speculation	b
307556	RPT-UPDATE 1-China June HSBC flash PMI shows first expansion in 6 months  ...	b
229660	REUTERS SUMMIT-Japan's pro-nuclear policy at odds with global trend -ISEP  ...	b
293461	Europe Car Sales Rise for Ninth Month on Consumer Gains	b
84002	UPDATE 2-Wesfarmers exits insurance with sale of broking unit to US insurer	b
310664	Fitch Affirms Taiwan's E.Sun Securities at 'A+(twn)'	b
200436	UPDATE 3-Oracle wins copyright ruling against Google over Android	t
204975	Terrible Net Neutrality Plan Will Get A Makeover, Still Be Terrible	t
375690	Eva Mendes Pregnant With Ryan Goslingâ€™s Baby? Reports Suggest Actress  ...	e
164033	UPDATE 1-US Air Force rocket buy sparks lawsuit by aspiring contender SpaceX	t
235693	'Magic In The Moonlight' Trailer Shows Woody Allen's Latest Trip To Europe	e
72573	Dj Avicii - Avicii Has Surgery To Remove Gallbladder And Appendix	e
166262	Alstom Battle Intensifies as Siemens Plans to Counter GE	b
26743	Ashton Kutcher, Orlando Bloom Among Latest Members Of Lindsay Lohan's 'Hall  ...	e
326779	UPDATE 3-Puerto Rico agency debt slumps as law fuels default fears	b
218424	'Godzilla' Decimates Box Office With $93 Million Weekend Debut	e
338302	UPDATE 1-ECB to wait for June measures to bite as inflation stays low	b
417518	RPT-IMF's Lagarde put under investigation in French fraud case - source	b
287969	Mitsubishi Offering to Buy About 10% Alstom Stake, Nikkei Says	b
373749	Courtney Love - Courtney Love To Guest Star On Sons Of Anarchy	e
184210	Fiat Chrysler posts 1st-qtr net loss, trading profit stable	b
404797	UPDATE 4-Food scare driving away Yum, McDonald's diners in China	b
19214	Sir Mick Jagger - Mick Jagger's Model Daughter Cancels Runway Show	e
361445	Egyptian Premier Defends Decision to Increase Fuel Prices	b
191826	UPDATE 1-China April soybean imports climb around 60 pct on year	b
251926	Thin Mint And Tootsie Roll Are Taking On The E-Cigarette Industry	m
310661	RPT-Fitch Assigns Eurosail-UK Prime 2007-A Ratings on Restructuring	b
270397	Jonah Hill's Gay Slur Comes At Wrong Time For Sony	e
290170	Report: Ukraine president proposing cease-fire	b
229434	It's Time for the US to Catch Up on Melanoma Prevention	m
172394	US FCC Chairman Wheeler to testify in Congress on May 20	t
234566	UPDATE 1-Kerry says Russia-China gas deal not linked to Ukraine	b
420236	David Lynch Does The Most David Lynch Ice Bucket Challenge Ever	e
128464	FOREX-Dollar slips on Yellen's dovish stance, pound hits 4-1/2-year high	b
185757	Activision's Profit Beats as Forecast Falls Short on Spending	t
377142	US STOCKS-Wall St opens higher on M&A, Citi earnings	b
226267	Microsoft Unveils New Version of Surface Pro Tablet	t
371275	US STOCKS-Wall St slumps in broad decline, Dow under 17000	b
326492	Brent Crude Heads for Biggest Weekly Drop Since April	b
374152	Boeing and Emirates finalise $56 bln order for 150 777X planes	b
339099	Ousted chairman Charney reports 42.98 pct stake in American Apparel	b
45815	Kevin Spacey - Kevin Spacey To Take On Winston Churchill In New Political  ...	e
420848	Katherine Heigl's Charitable Foundation Profits From Dropped Duane Reade  ...	e
353153	UPDATE 3-US grounds entire F-35 fleet pending engine inspections	b
233666	National Report Reveals Healthiest States For Older Adults	m
165356	GRAINS-Corn firms after USDA confirms planting delays	b
411670	Argentine Creditors Seek to Waive Clause That's Hindering Talks	b
234144	German Economy Maintains Momentum as Services Growth Surges	b
208903	Gore Explains The Real Motiviation Behind Republicans' Climate Change Denial	t
159523	UPDATE 3-GM says facing multiple probes into recent recalls	b
5768	Federal prosecutors in New York open criminal probe of GM -source	t
324685	36 Avicii Fans Hospitalized After Boston Concert	e
57109	Spanish, Italian, Portuguese yields hit historical lows on ECB bets	b
396022	Kim Kardashian - Kim Kardashian followed by 'crazy driver'	e
237720	EPA Reaches Deal With Duke To Clean Dan River Coal Ash	b
138719	Miley Cyrus Forced To Cancel More 'Bangerz' Tour Dates As She Remains  ...	e
20232	Study To Test 'Chocolate Pills' For Heart Health	m
397689	Wall Street Is Really Confused by Twitter	b
382679	Bank Of America Takes $4 Billion Legal Hit, On Hook For Billions More	b
147774	Tom Hanks + Steven Spielberg = One Potentially Incredible Cold War Thriller	e
163807	Google+ Isn't Dead. It's Just In A Coma And On Life Support	t
353575	NASA Launches Orbiting Carbon Observatory-2 Satellite To Monitor  ...	t
67179	"Evan Peters ""Pumped"" Michael Chiklis & Kathy Bates Will Play His Parents In  ..."	e
9054	Ackman outspent by Herbalife in lobbying battle	b
207824	China April fiscal revenues up 9.2 percent year-on-year	b
27048	Netflix Orders Jane Fonda, Lily Tomlin Sitcom, 'Grace And Frankie'	e
82531	Every Suit Barney's Ever Worn On 'How I Met Your Mother'	e
373597	Garth Brooks - Garth Brooks' Dublin Gigs Cancelled	e
148806	Gilead Sales Double on $1000 Hepatitis C Pills	b
158933	Barclays Reaches $280 Million Settlement Over Loans Sold to GSEs	b
70151	"TIMELINE-The FX ""fixing"" scandal"	b
241108	Iraqi Kurdistan begins piped oil exports via Turkey - minister	b
96534	Nasdaq Just Plummeted And Everyone's Asking The Same Question	b
238430	US STOCKS-Wall St to open flat after jobless claims; housing data due	b
411613	UPDATE 2-Argentina bonds, stocks firm on possible deal to exit default	b
403362	Robert Pattinson - Robert Pattinson Brushes Off Kristen Stewart's Cheating  ...	e
19354	Billy Dee Williams' 'Dancing With The Stars' Debut Features A 'Star Wars  ...	e
86195	UPDATE 1-Strait, Lambert leads winners at Academy of Country Music awards	e
57169	FOREX-Euro weak near 3-week lows as ECB tries to tame strength	b
221786	'Raging Bull' Copyright Suit: Petrella Given Green Light To Pursue Royalties	e
406261	Tesla CEO says company to bear up to half cost of battery factory	t
128563	FOREX-Dollar up vs yen on Japan stock picture, dips vs euro on Fed view	b
283004	FCC collecting peering agreements from Netflix and Verizon, Comcast	t
30931	Netflix Calls for Stronger Rules on Handling of Web Traffic (2)	t
392221	Obama Opens East Coast To Oil Exploration For First Time In Decades	t
11132	"What Does Lindsay Lohan's ""Ex List"" Mean For Her Fragile Comeback?"	e
280667	REFILE-UPDATE 5-Stage, screen actress Ruby Dee dies at 91 -family	e
84213	Holcim, Lafarge Said to Approve Merger With Lafont as CEO	b
191808	China's Soybean Imports Jump in April as Demand Recovers	b
299176	Jason Momoa To Play Aquaman in â€˜Batman vs Supermanâ€™ (Just like  ...	e
310643	RPT-Fitch Revises Ergon Energy Queensland's Outlook to Negative; Affirmed at  ...	b
117998	Ice Cube Jokes That Paul Walker 'Robbed' Him Of An MTV Movie Award	e
33402	Fast - Actors To Double For Paul Walker On Fast & Furious	e
271198	Miley Cyrus - Miley Cyrus' car stolen	e
412430	Burger King in Talks to Buy Canadian Chain Tim Hortons	b
242147	It Took 4 Years And Trips To 26 Countries To Make This Proposal Video	e
86305	Barbara Walters Announces The Date Of Her Retirement From Television	e
107722	Osborne touts UK recovery on return to skeptical IMF	b
163432	Dollar down vs. yen, Swiss franc as Ukraine tensions feed safety bid	b
65741	Katherine Webb And AJ McCarron Are Engaged And That Ring Is HUGE  ...	e
233920	NATO Missile Defense Is Flight Tested Over Hawaii	b
201857	Here's Everything Wrong With 'Spider-Man 3'	e
399259	US Tells Time Warner Cable to Act in Dodgers-Games Tiff	t
349947	US sues T-Mobile USA, alleges bogus charges on phone bills	t
70733	UPDATE 1-Lufthansa cancels 3800 flights due to pilot strike	b
405643	Russia Risk Seen Prompting BNP Paribas Commodity Bond Prepayment	b
66483	Fed's Evans says he wants no rate hike until early 2016	b
154760	Fresh Off Easter, Peeps Head to Hollywood	e
94824	Ebola Outbreak to Continue for Several More Months: WHO	m
1594	Neil DeGrasse Tyson: Media Should Stop Giving Space To Climate Change And  ...	t
161	US STOCKS-Futures edge lower after record high, China data	b
313867	Michael Schumacher - Michael Schumacher's 'Medical Records Stolen'	m
237456	RPT-CNPC-Gazprom Deal a Medium-Term Positive for China's Gas Sector	b
118840	Brad Pitt - Brad Pitt attached to The Operators	e
62481	Mariah Carey Just Got A Whole Lot Of Birthday Diamonds From Nick Cannon	e
170824	Twitter User Growth Slows as New Products Fail to Excite	b
314356	GLOBAL MARKETS-German Ifo hits stocks, Carney knocks sterling	b
109516	Euro Slides Versus Most Peers as Draghi Warns of ECB Stimulus	b
292803	Prince George Takes First (Public) Steps In Style On Father's Day	e
112769	Google Buys Drone-Maker For Supposedly Non-Evil Reasons	t
90096	Not All Dairy Is Created Equal When It Comes To Women's Bone Health, Study  ...	m
212577	UPDATE 3-AT&T nears DirecTV purchase in new jolt to TV landscape	b
236360	The Batman Suit Pic? Forget It, Kevin Smith Says It's Blue and Grey.	e
183877	US Case of Deadly MERS Sparks Call for Congressional Hearings	m
9286	UPDATE 1-French cable group Numericable keeps mid-term targets	b
324034	Phil Collins - Phil Collins Donating Valuable Alamo Collection To Texas Officials	e
199584	Employers in US Put Out Fewer Help-Wanted Signs in March	b
289562	FOREX-Dollar dips versus yen, euro remains under pressure	b
33882	Anna Wintour - Anna Wintour praises Kim Kardashian	e
185626	Climate and Cigarettes: Will the National Climate Assessment Spark Real Action?	t
228998	NBC Wins Prime-Time Television Ratings for First Time in Decade	e
95495	China consumer prices rise, but industry deflation persists	b
206529	Canceled And Renewed TV Shows For The 2014-'15 Season	e
199945	US STOCKS-Wall St turns higher as momentum shares rebound	b
189973	With Emma Stone and Joaquin Phoenix, Woody Allen's New Movie Could Fly	e
62243	Kim Kardashian - Burger King offer to cater Kim Kardashian and Kanye West  ...	e
398013	FOREX-Kiwi dips on dairy worries, dollar holding strong	b
229732	Bank of England minutes show some members closer to voting for rate rise	b
63	EBay CEO Donahoe's Pay Drops by 53% to $13.8 Million for 2013	b
203811	Draghi Drives ECB Toward Stimulus Even as GDP Grows: Economy	b
193306	UPDATE 2-Tech firms write to US FCC to oppose 'net neutrality' plan	t
101297	Ohio Earthquakes Linked To Fracking, A First For Region	b
87293	Greek yields dip as QE speculation swirls, debt sale eyed	b
195946	Euro Poised for Weekly Drop as Draghi Signals June Policy Move	b
250320	Watch Dogs Download Leaves Torrenters With Bitcoin Mining Virus	t
337588	How Liza Minnelli's Rep Reacted To Shia LaBeouf's 'Cabaret' Arrest	e
112152	US Stocks Rebound After Better Retail Sales, Citigroup Profit	b
379456	Apple Teams Up With Long-Time Tech Rival IBM	t
147752	Jay Z - Jay Z Masters At Centre Of Alleged Extortion Plot	e
418441	GM Moves Cadillac SRX Production to Tennessee Plant From Mexico	t
356573	Pound Strengthens Fifth Day Versus Euro on BOE Rate Speculation	b
182839	Kim Kardashian And Kanye West Tone It Down For The 2014 Met Gala	e
233791	Minnesota Becomes First State To Ban Antibacterial Chemical Triclosan From  ...	m
